"apgcode","occurrences"
"xs22_69baa4oz0c8711","13277"
"xs22_0mmggm96z32w66","13181"
"xs22_ca9baicz33032","13095"
"xs22_69ac0sik8zw2552","13067"
"xs22_259mgmiczw4aa4","12690"
"xs22_69icw8ozwo5l91zx1","12625"
"xs22_259acz355d96","12621"
"xs22_651ugmiczw4a6","12348"
"xs22_0ckgill2zo8a6w1","12341"
"xs22_2lligz12iaahzx11","12197"
"xs22_069a4zcid1d96","12153"
"xs22_0ca96z69d1ego","12119"
"xs22_g8e1t6z19ll8","12107"
"xs22_xraa4zxol3z653","12100"
"xs22_354mic8a6zw1243","12066"
"xs22_354cz69d1d96","12001"
"xs22_0ca1vg33z2553","11839"
"xs22_069b88a6zca513","11787"
"xs22_39e0uicz2553","11786"
"xs22_39e0uh3z03543","11678"
"xs22_039u0eik8z6521","11655"
"xs22_okiq3qicz66","11602"
"xs22_4ac0si96z6953","11590"
"xs22_0gbb8b96z121w33","11243"
"xs22_0caab96z253033","11208"
"xs22_0mkl3z12430eio","11111"
"xs22_g4s0sie0e96z11","10928"
"xs22_gbb8b96z12156","10761"
"xs22_6960uhe0e96","10680"
"xs22_xok97079cz653","10655"
"xs22_ml1u0uiz1243","10614"
"xs22_0db0brz69d11","10557"
"xs22_mll2z10470796","10527"
"xs22_0ca9bqicz2552","10345"
"xs22_gbaabpicz123","10334"
"xs22_025a88gz69d1dd","10238"
"xs22_06996z355d952","10215"
"xs22_4a9eg8oz0178b6","10196"
"xs22_0okiqb96z4aa4","10169"
"xs22_39u0ml3z321011","10105"
"xs22_2lm0u1jz643w11","10008"
"xs22_354kl3z32qq1","9954"
"xs22_259e0o4kozw3543","9887"
"xs22_4a9egmiczw696","9797"
"xs22_o4s0sie0e96z01","9633"
"xs22_ca9baicz35421","9602"
"xs22_g88e1t6z1255d","9475"
"xs22_ad1e8gzdj871","9473"
"xs22_69acggmiczx346","9376"
"xs22_0mlhege2z3443","9363"
"xs22_2lmgu156z346","9309"
"xs22_69e0o4oz699701","9259"
"xs22_mm0e9a4z10796","9200"
"xs22_256o8gzx643sia4","9183"
"xs22_08u1lmzcib43","9179"
"xs22_256o8gzx8e1eik8","9177"
"xs22_6960uhe0eic","9099"
"xs22_2lmgmmz346221","8872"
"xs22_c9b8brz35421","8799"
"xs22_g8o0uh3z1qq221","8769"
"xs22_gbb88a6z11d96","8758"
"xs22_i5p6kk8zd543","8737"
"xs22_69bqhbqic","8611"
"xs22_08e1lmz255d221","8577"
"xs22_03lkkl3z69a401","8571"
"xs22_0o4s3qicz3543","8563"
"xs22_069b88cz311d96","8352"
"xs22_gilmgmicz1w66","8169"
"xs22_697079e0e96","8124"
"xs22_35a8ciicz02553","8115"
"xs22_69akgoz697066","8078"
"xs22_xg8ge1diczca611","8045"
"xs22_39e0ehu0ui","8039"
"xs22_354c0cczx69d113","7924"
"xs22_09f0s4oz699611","7858"
"xs22_0651u066z4a9611","7826"
"xs22_695m88gz69a511","7709"
"xs22_4a9bqicz0354c","7701"
"xs22_g88baicz178b5","7630"
"xs22_o4c0si96zc953","7618"
"xs22_j1u0tj871z11","7383"
"xs22_0gillmz346w346","7369"
"xs22_651u0okcz3543","7323"
"xs22_0mkhfgkcz3443","7286"
"xs22_ciab96zw113156","7206"
"xs22_g88b9icz178b6","7163"
"xs22_gbb88gz19lld","7119"
"xs22_0c8861t6z651311","7111"
"xs22_0g88bbgz8lld11","7110"
"xs22_02lliczcnge2","7087"
"xs22_g88bbgz19ll91","6863"
"xs22_39e0ehf0f9","6827"
"xs22_c8970796z3552","6810"
"xs22_0mlhik8z346066","6791"
"xs22_4aab96zw651156","6780"
"xs22_0ml1uge2z3443","6769"
"xs22_cc0si53z330346","6743"
"xs22_69b88b96zw2552","6709"
"xs22_g88ml96z178a6","6697"
"xs22_2596o8gzy0123cik8","6678"
"xs22_0c88bqicz6996","6535"
"xs22_69e0uicz6513","6487"
"xs22_4a9b8b96zw653","6446"
"xs22_69e0eis0si6","6407"
"xs22_651u0e96z6511","6352"
"xs22_259eg8gzy0122dik8","6333"
"xs22_0ca9lmz2530346","6297"
"xs22_0gilmz344mk3zx11","6290"
"xs22_0g8e1t6z8ll91","6287"
"xs22_6t1e8zwdd1e8","6285"
"xs22_g88m996z178b6","6277"
"xs22_69e0eis079c","6129"
"xs22_354mge9a4zw1243","6052"
"xs22_69e0uh3z6513","6028"
"xs22_062s0si53z3543","5944"
"xs22_0gilmz346069ic","5908"
"xs22_69a4z25t1t6zx1","5859"
"xs22_69icwci6zxdd11","5850"
"xs22_ciir2q4ozx6221","5843"
"xs22_039u0ooz66078c","5819"
"xs22_04a9bqiczc871","5802"
"xs22_c88b96z33w3156","5783"
"xs22_o4o0uhe0e96z01","5761"
"xs22_cimgm952zca6","5754"
"xs22_330f92sgzw2553","5752"
"xs22_69b88gzx3egnc","5748"
"xs22_06996z355d552","5667"
"xs22_0ca9e0eicz2552","5641"
"xs22_0gjlkmz346w346","5624"
"xs22_6t1e8gz5b871","5614"
"xs22_39e0o4oz699611","5602"
"xs22_25aczcid1d96","5588"
"xs22_65lmzcnge3","5546"
"xs22_651u0uizw178c","5544"
"xs22_j9c0c4oz11dd11","5494"
"xs22_c88b96z33035a4","5468"
"xs22_35akggzx66074ko","5464"
"xs22_wcc0si53z4a953","5463"
"xs22_6ac0si96z2553","5453"
"xs22_256o8g0sia4zx643","5447"
"xs22_wggcie0e96z2543","5447"
"xs22_g8e1dqz178b5","5443"
"xs22_0ca9bqicz653","5404"
"xs22_178brzx6b871","5395"
"xs22_025b88a6z651156","5366"
"xs22_035s2qrz3543","5361"
"xs22_06996zcil9156","5350"
"xs22_32qb8n9a4zx121","5308"
"xs22_08o0ehe0eicz321","5293"
"xs22_2llmggz122qq1","5226"
"xs22_caabaa4z33w33","5223"
"xs22_69bo3qicz321","5201"
"xs22_354s0si6z3543","5198"
"xs22_69e0mmz697011","5188"
"xs22_08e1vg33z2553","5187"
"xs22_69acggzx320fgkc","5174"
"xs22_69acggka6zw696","5173"
"xs22_o4ie0ehf033z01","5167"
"xs22_6t1e8z11079ic","5123"
"xs22_330fhozxca22ac","5067"
"xs22_gs2u0mp3z1243","5049"
"xs22_wc4o0oka52z4aa43","5034"
"xs22_69acz651315ac","5029"
"xs22_2lligz34269ko","4938"
"xs22_4a9egoz697066","4932"
"xs22_0g88b96z8ll913","4914"
"xs22_0ml9abgz344311","4902"
"xs22_0g88brz2fgmd","4870"
"xs22_cil6gmiczw343","4857"
"xs22_69baik8z6953","4803"
"xs22_3hu069bqic","4775"
"xs22_g88c2t52z1255d","4772"
"xs22_252s0ccz3543033","4766"
"xs22_0g8o69e0eicz1221","4737"
"xs22_04a96zcid1d96","4710"
"xs22_xg84o0uh3z4a9611","4693"
"xs22_3lkmggz1qq221","4651"
"xs22_cit1e8zx359a4","4628"
"xs22_6996k4ozc97011","4624"
"xs22_xg88hf033z4a9611","4590"
"xs22_0g88b96zhaarz011","4573"
"xs22_c8a53z355d96","4556"
"xs22_39e0oka6z2553","4524"
"xs22_4aaraaraa4","4520"
"xs22_g8ehv0rrz11","4514"
"xs22_0g88b96zhaarz11","4492"
"xs22_69b8f1e8z0352","4491"
"xs22_ca2jgz330fgkc","4486"
"xs22_0cimkl3z62ac01","4476"
"xs22_69f0v9z25521","4464"
"xs22_69acz69d115a4","4430"
"xs22_697o79icz0321","4406"
"xs22_cia40v1u0oozy21","4392"
"xs22_g0gil96zdlge2","4390"
"xs22_0cc0siarz6513","4382"
"xs22_o8wci96z01p5l8zx1","4376"
"xs22_39e0eis0sic","4348"
"xs22_03lkmz6960696","4342"
"xs22_gs2t1eoz0c871","4338"
"xs22_6a88bqicz653","4330"
"xs22_03lk46zcnge3","4315"
"xs22_0cc0ca52z69d113","4307"
"xs22_08e1t2sgz65123","4282"
"xs22_256o8gzx6430eik8","4257"
"xs22_0caab96z65156","4254"
"xs22_03lkmioz47066","4253"
"xs22_w4aabqicz6513","4245"
"xs22_39egmmz695201","4222"
"xs22_2llmggzraa401","4219"
"xs22_0354kmzo4kb421z01","4214"
"xs22_0g88e1ege1e8z121","4180"
"xs22_gbaq3ob96z11","4177"
"xs22_0gilmz3kk643z011","4164"
"xs22_c9b8brz3552","4164"
"xs22_069acz4a511d96","4123"
"xs22_04a96o8a6zc8711","4113"
"xs22_0ckgo0uh3z62ac","4111"
"xs22_69a4z69d1dic","4099"
"xs22_0ca1vg33z6513","4091"
"xs22_259mgmiczwca6","4090"
"xs22_xca53z2ll552z011","4084"
"xs22_2llmz3egmb","4075"
"xs22_cil9arz4a611","4075"
"xs22_4aab8ob96z033","4018"
"xs22_069a4z39d1d96","3989"
"xs22_69egmicz6952","3981"
"xs22_ca96z359d1e8","3977"
"xs22_0mlhu0ok8z346","3976"
"xs22_69bojd0eic","3956"
"xs22_0660u156zc97011","3949"
"xs22_c8allicz3543","3945"
"xs22_02llmzcngc23","3943"
"xs22_0mm0e93z343033","3942"
"xs22_0c9baicz69d11","3905"
"xs22_cc0c9jz319ld","3886"
"xs22_g4s079e0eicz11","3884"
"xs22_0g88bbgzol5d11","3878"
"xs22_69bqikozw4aa4","3875"
"xs22_651u0eicz6521","3861"
"xs22_g8e1t6z1pld","3854"
"xs22_w6996zml553z11","3847"
"xs22_035a8cz69d1156","3835"
"xs22_2lmgeik8z3443","3834"
"xs22_69e0e970si6","3823"
"xs22_iu0e96z6a871","3823"
"xs22_0259a4oz6511dd","3819"
"xs22_0gjlmge2z32w66","3812"
"xs22_4s0s2qrz3543","3803"
"xs22_xokie0e96z2552","3802"
"xs22_g8o69e0eik8z121","3769"
"xs22_gbb88gzdll91","3768"
"xs22_352s0si6z3543","3759"
"xs22_o4ie0ehf0ccz01","3690"
"xs22_39e0eis079c","3671"
"xs22_0ogie0e96z4aa6","3663"
"xs22_0gilmz3km443z011","3655"
"xs22_25b8r3ob96","3650"
"xs22_3pm0e996zx352","3645"
"xs22_0mlhu0ooz34a4","3639"
"xs22_ca1u0uiz3543","3635"
"xs22_25akgka52zw4aa6","3628"
"xs22_c8allmz355201","3622"
"xs22_69baa4zw651156","3605"
"xs22_0jhu06a4z3ego","3599"
"xs22_2llmzbmge3","3583"
"xs22_gg0si52zdlge21","3571"
"xs22_0g6p3sj96z321","3568"
"xs22_gg0si53zdlge2","3566"
"xs22_0caabo8a6z2552","3563"
"xs22_w8kkm952zca2ac","3555"
"xs22_y2ggm93z8kkm452zx1","3554"
"xs22_ca9e0mmzw3543","3551"
"xs22_cic0f9arzw113","3545"
"xs22_0iu0e96z643033","3539"
"xs22_mlhe8z122d96","3529"
"xs22_69egmiczca43","3528"
"xs22_69ac0sicz04a53","3527"
"xs22_651u0eicz6511","3524"
"xs22_3lkl3z320pi6","3511"
"xs22_6a88bqicz2552","3496"
"xs22_gbbo79koz1221","3472"
"xs22_2lligz32w23cko","3459"
"xs22_651u08o0eiozy0121","3428"
"xs22_2llm88gzc96221","3400"
"xs22_o8bb88brzx33","3384"
"xs22_6a88brz0355d","3377"
"xs22_0mligkcz346066","3367"
"xs22_w696z2ll553z121","3364"
"xs22_4a9ba96z033033","3361"
"xs22_04aabqiczc871","3357"
"xs22_6960uhbqic","3351"
"xs22_kc0si96z178a6","3332"
"xs22_8e1u0uiz3543","3318"
"xs22_3hu0o4cz34a611","3311"
"xs22_2560u15u0oozy111","3310"
"xs22_3lk453zrq23","3310"
"xs22_08e1e8z6511d96","3309"
"xs22_0mligz346069ic","3300"
"xs22_0db8b96z6953","3276"
"xs22_6996k4oz259701","3271"
"xs22_356o8gzy0pgf0cc","3268"
"xs22_c871u0uizx643","3264"
"xs22_c8all2z3303452","3260"
"xs22_69b8n96z6511","3257"
"xs22_259mkk8zca2ac","3237"
"xs22_6a8c2qbz035521","3235"
"xs22_o4ie0ehu0ooz01","3224"
"xs22_02llmz6960696","3206"
"xs22_4a9egma4z03543","3205"
"xs22_8e1lmz359a43","3196"
"xs22_699egmaz03543","3192"
"xs22_0g8o696z3egna","3182"
"xs22_2ll2s53zw3453","3172"
"xs22_gwca96z1p5p13zw1","3166"
"xs22_08e1t6zgjldz1","3161"
"xs22_0g8e1dqz6b871","3145"
"xs22_0259aczml552z11","3109"
"xs22_06996kk8z4a953","3069"
"xs22_g8e1vg33z1253","3066"
"xs22_2lmggkcz346066","3058"
"xs22_xrhe0eik8z253","3046"
"xs22_069mgm96zca26","3040"
"xs22_256o8geik8zx643","3031"
"xs22_0caabqicz653","3006"
"xs22_69b8brz0178c","3001"
"xs22_651u0u164kozy01","2996"
"xs22_3lkmz1245d96","2994"
"xs22_ca9b8brz0253","2988"
"xs22_0gjlmz12egmb","2985"
"xs22_651u08ozcia611","2985"
"xs22_0gilmz122egnc","2973"
"xs22_259m88gzy0123cia4","2963"
"xs22_696o8gzw12egnc","2938"
"xs22_069a4zoid1d96","2922"
"xs22_gg0gbq2sgz0345d","2918"
"xs22_g88bbo3tgz123","2904"
"xs22_354mgm453zw3421","2902"
"xs22_4a9b8brzw6511","2894"
"xs22_g31e8gzdd1dd","2887"
"xs22_o8wci96z0h9ldzw1","2883"
"xs22_3pe0u1t6zx121","2867"
"xs22_0cimge13z8ka26","2862"
"xs22_w696z25t1t52zx1","2862"
"xs22_3lkmkk8z32w66","2857"
"xs22_g88bp453zdd11","2857"
"xs22_35akgozx622qic","2842"
"xs22_0660u156z4a9611","2838"
"xs22_g88bbgzd5lp1","2804"
"xs22_cip78brzx321","2797"
"xs22_04a96z39d1d96","2794"
"xs22_caab8brzw352","2792"
"xs22_3p6gm96z3543","2784"
"xs22_8o6ll2z2fgp1","2784"
"xs22_0259aczcc0f952","2777"
"xs22_gbb8f12koz123","2777"
"xs22_4a9b8b96zx356","2770"
"xs22_c88bbgz319ld","2764"
"xs22_354ljgzx1023cko","2752"
"xs22_j9e0o4ozc97011","2752"
"xs22_0ca52z69d1dic","2742"
"xs22_xrhe0e952z253","2739"
"xs22_4a96z2lll96z01","2731"
"xs22_c88baacz065156","2716"
"xs22_c4o0ehe0eicz011","2713"
"xs22_i5ligzdlge21","2707"
"xs22_69b8bb8ozw253","2702"
"xs22_0gil96z12462ako","2694"
"xs22_2lligoz34606a4","2694"
"xs22_0ca9lmz2530343","2674"
"xs22_6ac0s2qrzw643","2666"
"xs22_04a96z4a9r996","2661"
"xs22_2560u15u066zy111","2648"
"xs22_2eg88bbgzx11dd","2645"
"xs22_330f96z651156","2626"
"xs22_0okk8a52zca2453","2625"
"xs22_c9b8brz33032","2622"
"xs22_xca1u0oozca2311","2621"
"xs22_6ac0si96z6513","2616"
"xs22_g39u0mmz11x346","2595"
"xs22_ca23qicz3553","2581"
"xs22_09f0si96z2553","2575"
"xs22_0gbap3qicz321","2548"
"xs22_ml1u0ooz6943","2543"
"xs22_3pe0o4kozx178c","2541"
"xs22_69is0ci6zwc871","2526"
"xs22_2lmgmmz1246221","2524"
"xs22_br0v1eoz01221","2509"
"xs22_3lkmge13z346","2502"
"xs22_6t1aczwdd1e8","2489"
"xs22_cikm1mkiczx121","2488"
"xs22_699egmiczw652","2482"
"xs22_g6d1eoz19lp1","2475"
"xs22_651u0e96z6521","2471"
"xs22_69b88c2kozw696","2459"
"xs22_69ab9a4z6953","2455"
"xs22_j9eg8oz178b6","2455"
"xs22_0mllicz34aa6","2444"
"xs22_25a8c0c4ozx69d11","2444"
"xs22_g8o0ehe0eicz121","2435"
"xs22_2ll688gz345d11","2428"
"xs22_69ak8g0s2sgzx1221","2413"
"xs22_oggo8brz6aa6","2410"
"xs22_069p6o8zcia521","2384"
"xs22_04aab9a4zca513","2378"
"xs22_64ljgzw10470si6","2377"
"xs22_gg0s2ac0fhoz1221","2370"
"xs22_352sgz330fgkc","2363"
"xs22_g0gilmzdlge21","2361"
"xs22_0c9b8brz6513","2360"
"xs22_259mggkczwciic","2358"
"xs22_ca96z06t1t6zx1","2351"
"xs22_259aczg8o6513z11","2347"
"xs22_069mk4ozciq221","2341"
"xs22_0br0v18oz65x11","2341"
"xs22_rq2kmicz6221","2341"
"xs22_o48ge5hu0ooz011","2332"
"xs22_g88m5hu0696z011","2322"
"xs22_gs2u0uh3z1243","2316"
"xs22_6t1e8zwdl913","2292"
"xs22_69baikozw69a4","2286"
"xs22_6996z6519lic","2282"
"xs22_xo4iu0696z3543","2279"
"xs22_caab8oz311dd","2278"
"xs22_0259mggzoka26421","2273"
"xs22_4a9e0uiz03553","2272"
"xs22_69baab96zx33","2271"
"xs22_xg4s0si96zca611","2268"
"xs22_0rb8b96zc453","2259"
"xs22_69baicz695d","2253"
"xs22_4a9baicz65132","2250"
"xs22_69n8b9aczx113","2248"
"xs22_o4o0uhe0eicz01","2244"
"xs22_354mgmiczw34a4","2233"
"xs22_0c9jz69d1eio","2218"
"xs22_08o0e93zra9oz011","2217"
"xs22_8kkmhf033zx66","2217"
"xs22_o4ie0ehu066z01","2217"
"xs22_o8bb8oz6b871","2207"
"xs22_2llm88gz34a611","2178"
"xs22_8ko0e9jz06a871","2161"
"xs22_c88b96zdj871","2156"
"xs22_69ab8b96zw253","2153"
"xs22_4aabp2sgz6511","2147"
"xs22_660u1eg628czy0121","2141"
"xs22_0md1eoz6b871","2138"
"xs22_xoka23qicz653","2138"
"xs22_69e0eigozwca26","2130"
"xs22_gbbo7picz121","2106"
"xs22_mkkmkl3z1w641","2106"
"xs22_5b8baa4z6953","2103"
"xs22_0db8brz6996","2102"
"xs22_0mlhe8gz34a611","2089"
"xs22_g88e1t6z17871","2087"
"xs22_0651u0oozok453","2084"
"xs22_cimg6p3zca221","2082"
"xs22_c88b9acz330352","2081"
"xs22_ca9licz330346","2080"
"xs22_0g6p3qicz12543","2079"
"xs22_3lkmik8z32w66","2071"
"xs22_c8adhe8z35521","2069"
"xs22_25akozrq22ac","2063"
"xs22_xok21fgkcz3543","2060"
"xs22_25akgka52zwca26","2059"
"xs22_25acz39d1d96","2052"
"xs22_4aabk4oz259701","2046"
"xs22_j9acz1255d96","2046"
"xs22_0ad1e8gz25b871","2029"
"xs22_8u1t2sgz012543","2027"
"xs22_3lk46z320fgkc","2022"
"xs22_2lla8cz34a513","2004"
"xs22_039e0okcz4a953","2001"
"xs22_64kmhegoz03443","1994"
"xs22_08e1t2sgz255d","1990"
"xs22_0g8ka960uicz1221","1987"
"xs22_39u0u1eozw1221","1987"
"xs22_8e1lmz9f0346","1984"
"xs22_g88bbgz1230fho","1983"
"xs22_178baik8z02553","1981"
"xs22_8u1t2koz012543","1973"
"xs22_ckggmic0f96zx1","1964"
"xs22_6996kicz6953","1960"
"xs22_035a4z69d1d96","1959"
"xs22_0ca1t2sgz65123","1942"
"xs22_xok970796z653","1942"
"xs22_06996z359d552","1941"
"xs22_25a4o0o4a52zx23032","1938"
"xs22_xg8hf0ciczca611","1931"
"xs22_354mge9a4zw3421","1929"
"xs22_259ac0s4z069d11","1926"
"xs22_2560u19u0oozy111","1924"
"xs22_0gbaq3qicz321","1923"
"xs22_69mgmikozx4a6","1910"
"xs22_259mggm952zx66","1902"
"xs22_0mkiqb96z346","1898"
"xs22_2llmgmicz32w1","1898"
"xs22_69acz255lmzx121","1897"
"xs22_8ehlmzw1023cko","1894"
"xs22_2egmp3zxca2ac","1885"
"xs22_651u08oz699611","1884"
"xs22_4aab88brzw253","1880"
"xs22_ciabaicz0ca32","1880"
"xs22_660uhe0ehr","1877"
"xs22_352s0si6zw3543","1876"
"xs22_g88bbgzdll91","1873"
"xs22_0gad1eoz6b871","1872"
"xs22_2llmz12ia9ozw11","1863"
"xs22_0g88b96z1qa953","1858"
"xs22_69ac0sicz0c453","1857"
"xs22_0gbb88gzol5d11","1856"
"xs22_xo4iq32acz3543","1852"
